rank,type,tier,url,city,state,shop_count
163,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-roadside-mobile-mechanic-raleigh.html,Raleigh,NC,
164,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-express-mobile-mechanic-raleigh.html,Raleigh,NC,
165,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-firestone-complete-auto-care-raleigh.html,Raleigh,NC,
166,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-reggie-s-mobile-jumpstart-services-raleigh.html,Raleigh,NC,
167,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-proficient-a-mobile-mechanics-raleigh.html,Raleigh,NC,
168,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-trailer-hitches-at-u-haul-raleigh.html,Raleigh,NC,
169,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-mobile-diesel-inc-raleigh.html,Raleigh,NC,
170,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-meaningful-solutions-llc-raleigh.html,Raleigh,NC,
171,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-off-grid-rv-services-llc-raleigh.html,Raleigh,NC,
172,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-rig-rescue-hub-raleigh.html,Raleigh,NC,
173,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-gower-s-brake-alignment-raleigh.html,Raleigh,NC,
174,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-ra-hitch-truck-outfitters-raleigh.html,Raleigh,NC,
175,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-jd-s-roadside-assistance-raleigh.html,Raleigh,NC,
176,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-simple-mobile-mechanic-llc-raleigh.html,Raleigh,NC,
177,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-brisbon-automotive-raleigh.html,Raleigh,NC,
178,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-atlantic-auto-and-diesel-llc-raleigh.html,Raleigh,NC,
179,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-cycle-gear-raleigh.html,Raleigh,NC,
180,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-murrays-tire-raleigh.html,Raleigh,NC,
181,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-a-j-automotive-raleigh.html,Raleigh,NC,
182,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-epic-auto-center-raleigh.html,Raleigh,NC,
183,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-leonard-truck-outfitters-raleigh.html,Raleigh,NC,
184,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-mj-brothers-auto-truck-repair-raleigh.html,Raleigh,NC,
185,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-messer-transmission-inc-raleigh.html,Raleigh,NC,
186,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-leonard-truck-outfitters-raleigh-2.html,Raleigh,NC,
187,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-full-throttle-towing-raleigh.html,Raleigh,NC,
188,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-marvel-auto-transport-raleigh.html,Raleigh,NC,
189,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-relentless-collision-raleigh.html,Raleigh,NC,
190,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-triangle-european-raleigh.html,Raleigh,NC,
191,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-rim-tire-warehouse-nc-raleigh.html,Raleigh,NC,
192,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-blows-auto-care-raleigh.html,Raleigh,NC,
193,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-tire-guy-raleigh.html,Raleigh,NC,
194,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-hrt-performance-raleigh.html,Raleigh,NC,
195,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-aj-s-mobile-mechanics-raleigh-raleigh.html,Raleigh,NC,
196,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-alliance-auto-truck-repair-raleigh.html,Raleigh,NC,
197,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-velocity-truck-centers-raleigh.html,Raleigh,NC,
198,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-exxon-raleigh.html,Raleigh,NC,
199,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-dixon-fleet-services-raleigh.html,Raleigh,NC,
200,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-triangle-diesel-works-raleigh.html,Raleigh,NC,
201,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-raleigh-on-site-truck-repair-raleigh.html,Raleigh,NC,
